Architecture,total_steps,total_agent_collisions,total_obstacle_collisions,agent_dones,all_agents_on_goal
PPO_-0.01,29.27$\pm$4.4,2.17$\pm$1.7,6.87$\pm$2.7,0.76$\pm$0.1,0.37$\pm$0.2
PPO_-0.1,19.08$\pm$2.7,1.64$\pm$1.3,4.51$\pm$1.7,0.8$\pm$0.1,0.43$\pm$0.1
PPO_-0.4,17.95$\pm$2.9,2.36$\pm$1.8,3.57$\pm$1.7,0.82$\pm$0.1,0.47$\pm$0.2
MAAC_-0.01,29.38$\pm$13.3,0.49$\pm$2.4,3.64$\pm$4.8,0.68$\pm$0.3,0.33$\pm$0.5
MAAC_-0.1,21.49$\pm$8.0,0.67$\pm$2.4,3.48$\pm$4.0,0.66$\pm$0.3,0.28$\pm$0.5
MAAC_-0.4,20.61$\pm$8.5,1.53$\pm$4.0,4.24$\pm$4.5,0.73$\pm$0.3,0.33$\pm$0.5
