Architecture,all_agents_on_goal,agent_dones,total_agent_collisions,total_obstacle_collisions
ppo,0.41$\pm$0.5,0.77$\pm$0.2,1.75$\pm$6.1,1.68$\pm$3.1
maac,0.05$\pm$0.2,0.7$\pm$0.2,3.09$\pm$11.6,1.52$\pm$5.4
