Architecture,total_agent_collisions,total_obstacle_collisions,total_steps
primal2,4.39$\pm$1.9,7.99$\pm$2.5,31.74$\pm$3.8
primal6,1.86$\pm$1.3,4.09$\pm$1.6,25.43$\pm$4.0
mlp,2.6$\pm$1.7,7.29$\pm$3.0,29.09$\pm$4.1
